"1620DR";"DK-SV";"Danmark-Sverige"
"1620L";"DK-SV";"Danmark-Sverige"
"1640";"DK-SV";"Danmark-Sverige"
"164045S";"DK-SV";"Danmark-Sverige"
"164055S";"DK-SV";"Danmark-Sverige"
"1640D";"DK-SV";"Danmark-Sverige"
"1640DR";"DK-SV";"Danmark-Sverige"
"1640L";"DK-SV";"Danmark-Sverige"
"1650";"DK-SV";"Danmark-Sverige"
"165045S";"DK-SV";"Danmark-Sverige"
"165045SD";"DK-SV";"Danmark-Sverige"
"165048SD";"DK-SV";"Danmark-Sverige"
"165055S";"DK-SV";"Danmark-Sverige"
"165055SD";"DK-SV";"Danmark - Sverige"
"1671";"DK-SV";"Danmark-Sverige"
"167130SG";"DK-SV";"Danmark-Sverige"
"1671DR";"DK-SV";"Danmark-Sverige"
"1671L";"DK-SV";"Danmark-Sverige"
"168545S";"DK-SV";"Danmark-Sverige"
"1710F";"DK";"Danmark"
"1710F";"SE";"Sverige"
"1710M";"SE";"Sverige"
"1750F";"DK";"Danmark"
"1750F";"SE";"Sverige"
"181055S";"DK-SV";"Danmark-Sverige"
"181060S";"DK-SV";"Danmark - Sverige"
"181060SB";"DK-SV";"Danmark-Sverige"
"1820";"DK-SV";"Danmark-Sverige"
"182018";"DK-SV";"Danmark-Sverige"
"182050S";"DK-SV";"Danmark-Sverige"
"182055S";"DK-SV";"Danmark-Sverige"
"182060S";"DK-SV";"Danmark-Sverige"
"1850";"DK-SV";"Danmark-Sverige"
"185050S";"DK-SV";"Danmark-Sverige"
"185055S";"DK-SV";"Danmark-Sverige"
"185060S";"DK-SV";"Danmark-Sverige"
"185060SB";"DK";""
"185060SB";"DK-SV";"Danmark-Sverige"
"185060SB";"SV";""
"1859";"DK-SV";"Danmark-Sverige"
"1860";"DK-SV";"Danmark-Sverige"
"1861";"DK-SV";"Danmark-Sverige"
"1862";"DK-SV";"Danmark-Sverige"
"1863";"DK-SV";"Danmark-Sverige"
"1885";"DK-SV";"Danmark-Sverige"
"188555S";"DK-SV";"Danmark-Sverige"
"1888";"DK-SV";"Danmark-Sverige"
"188850S";"DK-SV";"Danmark-Sverige"
"201025S";"DK-SV";"Danmark-Sverige"
"201045S";"DK-SV";"Danmark-Sverige"
"201055S";"DK-SV";"Danmark-Sverige"
"205025";"DK-SV";"Danmark-Sverige"
"205035S";"DK-SV";"Danmark-Sverige"
"205045S";"DK-SV";"Danmark-Sverige"
"205055S";"DK-SV";"Danmark-Sverige"
"2150134R";"DK-SV";"Danmark-Sverige"
"302002";"DK-SV";"Danmark-Sverige"
"305002";"DK-SV";"Danmark-Sverige"
"308802";"DK-SV";"Danmark-Sverige"
"312002";"DK-SV";"Danmark-Sverige"
"312008";"DK-SV";"Danmark-Sverige"
"312018";"DK-SV";"Danmark-Sverige"
"312018Q";"DK-SV";"Danmark-Sverige"
"312023";"DK-SV";"Danmark-Sverige"
"312025";"DK-SV";"Danmark-Sverige"
"315002";"DK-SV";"Danmark-Sverige"
"315008";"DK-SV";"Danmark-Sverige"
"315012";"DK-SV";"Danmark-Sverige"
"315018";"DK-SV";"Danmark-Sverige"
"315018Q";"DK-SV";"Danmark-Sverige"
"315025";"DK-SV";"Danmark-Sverige"
"318508";"DK-SV";"Danmark-Sverige"
"318518";"DK-SV";"Danmark-Sverige"
"318802";"DK-SV";"Danmark-Sverige"
"318808";"DK-SV";"Danmark-Sverige"
"318812";"DK-SV";"Danmark-Sverige"
"318818";"DK-SV";"Danmark-Sverige"
"322002P";"DK-SV";"Danmark-Sverige"
"322004P";"DK-SV";"Danmark-Sverige"
"322005P";"DK-SV";"Danmark-Sverige"
"325002P";"DK-SV";"Danmark-Sverige"
"325004P";"DK-SV";"Danmark-Sverige"
"325005P";"DK-SV";"Danmark-Sverige"
"325007P";"DK-SV";"Danmark-Sverige"
"325010P";"DK-SV";"Danmark-Sverige"
"325035P";"DK-SV";"Danmark-Sverige"
"328502P";"DK-SV";"Danmark-Sverige"
"332030P";"DK-SV";"Danmark-Sverige"
"335020P";"DK-SV";"Danmark-Sverige"
"335030P";"DK-SV";"Danmark-Sverige"
"335050P";"DK-SV";"Danmark-Sverige"
"335070P";"DK-SV";"Danmark-Sverige"
"338550P";"DK-SV";"Danmark-Sverige"
"392005";"DK-SV";"Danmark-Sverige"
"392010";"DK-SV";"Danmark-Sverige"
"395005";"DK-SV";"Danmark-Sverige"
"395010";"DK-SV";"Danmark-Sverige"
"395010P";"DK-SV";"Danmark-Sverige"
"398510";"DK-SV";"Danmark-Sverige"
"40200606";"DK-SV";"Danmark-Sverige"
"40500103";"DK-SV";"Danmark-Sverige"
"40500606";"DK-SV";"Danmark-Sverige"
"40880103";"DK-SV";"Danmark-Sverige"
"42200215";"DK-SV";"Danmark-Sverige"
"42200230";"DK-SV";"Danmark-Sverige"
"42500215";"DK-SV";"Danmark-Sverige"
"42500230";"DK-SV";"Danmark-Sverige"
"4720P";"DK-SV";"Danmark-Sverige"
"475002P";"DK-SV";"Danmark-Sverige"
"4750P";"DK-SV";"Danmark-Sverige"
"4820P";"DK-SV";"Danmark-Sverige"
"4850P";"DK-SV";"Danmark-Sverige"
"50101021117950S";"DK-SV";"Danmark-Sverige"
"50101095";"DK-SV";"Danmark-Sverige"
"501011601440";"DK-SV";"Danmark-Sverige"
"50101865S";"DK-SV";"Danmark-Sverige"
"50201021117950S";"DK-SV";"Danmark-Sverige"
"50201095";"DK-SV";"Danmark-Sverige"
"502010951605";"DK-SV";"Danmark-Sverige"
"50201188";"DK-SV";"Danmark-Sverige"
"50201199";"DK-SV";"Danmark-Sverige"
"50201670";"DK-SV";"Danmark-Sverige"
"505010011199";"DK-SV";"Danmark-Sverige"
"505010211179";"DK-SV";"Danmark-Sverige"
"50501021117950S";"DK-SV";"Danmark-Sverige"
"50501021117955S";"DK-SV";"Danmark-Sverige"
"50501095";"DK-SV";"Danmark-Sverige"
"505010951605";"DK-SV";"Danmark-Sverige"
"50501170";"DK-SV";"Danmark-Sverige"
"505011801S";"DK-SV";"Danmark-Sverige"
"505011802S";"DK-SV";"Danmark-Sverige"
"50501185";"DK-SV";"Danmark-Sverige"
"50501186";"DK-SV";"Danmark-Sverige"
"50501188";"DK-SV";"Danmark-Sverige"
"505011901";"DK-SV";"Danmark - Sverige"
"50501195";"DK-SV";"Danmark-Sverige"
"505011961404";"DK-SV";"Danmark-Sverige"
"505011961404S";"DK-SV";"Danmark-Sverige"
"505011981402";"DK-SV";"Danmark-Sverige"
"505011991401";"DK-SV";"Danmark-Sverige"
"50501256";"DK-SV";"Danmark-Sverige"
"5050126918301001";"DK-SV";"Danmark - Sverige"
"505018281S";"DK-SV";"Danmark-Sverige"
"50501840S";"DK-SV";"Danmark-Sverige"
"505018601440";"DK-SV";"Danmark-Sverige"
"50501861P";"DK-SV";"Danmark-Sverige"
"50501861S";"DK-SV";"Danmark-Sverige"
"50501865S";"DK-SV";"Danmark-Sverige"
"50501881S";"DK-SV";"Danmark-Sverige"
"50501882S";"DK-SV";"Danmark-Sverige"
"50502495";"DK-SV";"Danmark-Sverige"
"505032331433";"DK-SV";"Danmark-Sverige"
"50851021117950S";"DK-SV";"Danmark-Sverige"
"508518601440";"DK-SV";"Danmark-Sverige"
"51201169F";"DK-SV";"Danmark-Sverige"
"51201170F";"DK-SV";"Danmark-Sverige"
"51201170M";"DK-SV";"Danmark-Sverige"
"51201170M";"SE";"Sverige"
"51201171F";"DK-SV";"Danmark-Sverige"
"51201171M";"DK-SV";"Danmark-Sverige"
"51201171M";"SE";"Sverige"
"51201172F";"DK-SV";"Danmark-Sverige"
"51201172M";"DK-SV";"Danmark-Sverige"
"51201172M";"SE";"Sverige"
"512011781F";"DK-SV";"Danmark-Sverige"
"512011781M";"DK-SV";"Danmark-Sverige"
"512011781M";"SE";"Sverige"
"51201178F";"DK-SV";"Danmark-Sverige"
"51201178M";"DK-SV";"Danmark-Sverige"
"51201185F";"DK-SV";"Danmark-Sverige"
"51201185M";"SE";"Sverige"
"51201879F";"DK-SV";"Danmark-Sverige"
"51201879M";"SE";"Sverige"
"51202495F";"DK-SV";"Danmark-Sverige"
"51202495M";"SE";"Sverige"
"51202499F";"DK";"Danmark"
"515010401160F";"DK-SV";"Danmark-Sverige"
"51501188F";"DK";"Danmark"
"51501190F";"DK";"Danmark"
"520511801620L";"DK-SV";"Danmark-Sverige"
"525010701630L";"DK-SV";"Danmark-Sverige"
"525010801620L";"DK-SV";"Danmark-Sverige"
"525010901610L";"DK-SV";"Danmark-Sverige"
"525011701630L";"DK-SV";"Danmark-Sverige"
"528511701630L";"DK-SV";"Danmark-Sverige"
"54500001";"DK-SV";"Danmark - Sverige"
"54500003";"DK-SV";"Danmark-Sverige"
"550224981S";"DK-SV";"Danmark-Sverige"
"550224982S";"DK-SV";"Danmark-Sverige"
"55022498S";"DK-SV";"Danmark-Sverige"
"550224991S";"DK-SV";"Danmark-Sverige"
"55022499S";"DK-SV";"Danmark-Sverige"
"55051095S";"DK-SV";"Danmark-Sverige"
"55051183S";"DK-SV";"Danmark - Sverige"
"55051192S";"DK-SV";"Danmark-Sverige"
"55051198S";"DK-SV";"Danmark-Sverige"
"55051890S";"DK-SV";"Danmark-Sverige"
"55101088S";"DK-SV";"Danmark-Sverige"
"55101090S";"DK-SV";"Danmark-Sverige"
"55101110S";"DK-SV";"Danmark-Sverige"
"55101175S";"DK-SV";"Danmark-Sverige"
"55101176S";"Dk-SV";"Danmark - Sverige"
"551011771S";"DK-SV";"Danmark-Sverige"
"55101177S";"DK-SV";"Danmark-Sverige"
"551011781S";"DK-SV";"Danmark-Sverige"
"551011782S";"DK-Sv";"Danmark-Sverige"
"55101178S";"DK-SV";"Danmark-Sverige"
"551011791S";"DK-SV";"Danmark-Sverige"
"551011792S";"DK-SV";"Danmark-Sverige"
"55101179S";"DK-SV";"Danmark - Sverige"
"551011801S";"DK-SV";"Danmark-Sverige"
"55101180S";"DK-SV";"Danmark-Sverige"
"551011921S";"DK-SV";"Danmark-Sverige"
"55101192S";"DK-SV";"Danmark-Sverige"
"551011951S";"DK-SV";"Danmark - Sverige"
"55101195S";"DK-SV";"Danmark-Sverige"
"55101196S";"DK-SV";"Danmark-Sverige"
"551011981S";"DK-SV";"Danmark-Sverige"
"55101198S";"DK-SV";"Danmark-Sverige"
"5510119910S";"DK-SV";"Danmark-Sverige"
"5510119911S";"DK-SV";"Danmark-Sverige"
"5510119912S";"DK-SV";"Danmark-Sverige"
"5510119913S";"DK-SV";"Danmark-Sverige"
"5510119914S";"DK-SV";"Danmark-Sverige"
"5510119915S";"DK-SV";"Danmark-Sverige"
"5510119916S";"DK-SV";"Danmark-Sverige"
"5510119917S";"DK-Sv";"Danmark-Sverige"
"5510119918S";"DK-SV";"Danmark-Sverige"
"5510119919S";"DK-SV";"Danmark-Sverige"
"551011991S";"DK-SV";"Danmark-Sverige"
"5510119920S";"DK-SV";"Danmark-Sverige"
"5510119921S";"DK-SV";"Danmark-Sverige"
"5510119922S";"DK-SV";"Danmark-Sverige"
"5510119923S";"DK-SV";"Danmark-Sverige"
"5510119924S";"DK-SV";"Danmark-Sverige"
"5510119925S";"DK-SV";"Danmark-Sverige"
"5510119926S";"DK-SV";"Danmark-Sverige"
"5510119927S";"DK-SV";"Danmark-Sverige"
"5510119928S";"DK-SV";"Danmark-Sverige"
"5510119929s";"DK-SV";"Danmark-Sverige"
"551011992S";"DK-SV";"Danmark-Sverige"
