"1168";"Nitrogen TECH LINE Flydende 20 L. 14,1 m3";"0";"0";"0";"0";"DK-SV"
"1184";"Nitrogen H3640 200 bar 280,8 m3";"60";"1";"0";"0";"DK-SV"
"1185";"Nitrogen H1250 200 bar 116,4 m3";"60";"1";"0";"0";"DK-SV"
"118545";"Nitrogen 4.5 H1250 200 bar 116,4 m3";"60";"1";"0";"0";"DK-SV"
"118550S";"Nitrogen 5.0 LAB LINE H1250 200 bar";"60";"1";"0";"0";"DK-SV"
"118556S";"Nitrogen 5.6 LAB LINE H1250 200 bar";"60";"1";"0";"0";"DK-SV"
"1185F";"Nitrogen PHARMA LINE H1250, 200 bar 116,4 m3";"0";"0";"0";"0";"DK-SV"
"1185L";"Nitrogen FOOD LINE H1250 200 bar 116,4 m3";"60";"1";"0";"0";"DK-SV"
"1188";"Nitrogen XL-bat. 300 bar 172,0 m3";"60";"1";"0";"0";"DK-SV"
"118845";"Nitrogen 4.5 XL-bat. 300 bar 172,0 m3";"60";"1";"0";"0";"DK-SV"
"118850S";"Nitrogen 5.0 LAB LINE XL-bat. 300 bar";"60";"1";"0";"0";"DK-SV"
"1188L";"Nitrogen FOOD LINE XL-bat. 300 bar";"60";"1";"0";"0";"DK-SV"
"1199";"Nitrogen TECH LINE Liquid L.";"0";"1";"0";"0";""
"1205";"Argon 5 L. 200 bar 1,09m3";"0";"0";"0";"0";""
"120545";"Argon 4.5 5 L. 200 bar";"0";"0";"0";"0";""
"1210";"Argon 10 L. 200 bar 2,2m3";"60";"1";"0";"0";"DK-SV"
"121060SB";"Argon 6.0 LAB LINE BIP 10 L. 200 bar 2,2m3";"60";"1";"0";"0";"DK-SV"
"1220";"Argon 20 L. 200 bar 4,4 m3";"60";"1";"0";"0";"DK-SV"
"1220451";"Argon ICP 4.5 20 L  200 bar 4,4 m3";"60";"1";"0";"0";"DK-SV"
"122050S";"Argon 5.0 LAB LINE 20 L. 200 bar 4,4 m3";"60";"1";"0";"0";"DK-SV"
"122055S";"Argon 5.5 LAB LINE 20 L. 200 bar 4,4 m3";"60";"1";"0";"0";"DK-SV"
"1220Q";"Argon KVIK-TOP 20 L. 300 bar 6,2 m3";"60";"1";"0";"0";"DK-SV"
"1250";"Argon 50 L. 200 bar 10,9 m3";"60";"1";"0";"0";"DK-SV"
"1250451";"Argon ICP 4.5 50 L  200 bar 10,9 m3";"60";"1";"0";"0";"DK-SV"
"125050S";"Argon 5.0 LAB LINE 50 L. 200 bar 10,9 m3";"60";"1";"0";"0";"DK-SV"
"125050SHT";"Argon 5.0 LAB LINE 50 L. 300 bar 16,4 m3";"60";"1";"0";"0";"DK-SV"
"125055S";"Argon 5.5 LAB LINE 50 L. 200 bar 10,9 m3";"60";"1";"0";"0";"DK-SV"
"125060S";"Argon 6.0 LAB LINE 50 L. 200 bar 10,9 m3";"60";"1";"0";"0";"DK-SV"
"125060SB";"Argon 6.0 LAB LINE BIP 50 L. 200 bar 10,9 m3";"60";"1";"0";"0";"DK-SV"
"1250Q";"Argon KVIK-TOP 50 L. 300 bar 15,6 m3";"60";"1";"0";"0";"DK-SV"
"1285";"Argon H1250 200 bar 130,8 m3";"60";"1";"0";"0";"DK-SV"
"1285451";"Argon ICP 4.5 H1250 200 bar 130,8 m3";"60";"1";"0";"0";"DK-SV"
"128550S";"Argon 5.0 LAB LINE H1250 200 bar 130,8 m3";"60";"1";"0";"0";"DK-SV"
"128560S";"Argon 6.0 LAB LINE H1250 200 bar 130,8 m3";"60";"1";"0";"0";"DK-SV"
"1288";"Argon XL-bat. 300 bar 199,0 m3";"60";"1";"0";"0";"DK-SV"
"1288451";"Argon ICP 4.5 XL-bat. 300 bar 199,0 m3";"60";"1";"0";"0";"DK-SV"
"128850S";"Argon 5.0 LAB LINE XL-bat. 300 bar";"60";"1";"0";"0";"DK-SV"
"1299";"Argon TECH LINE Liquid L.";"0";"1";"0";"0";""
"1304";"Atm. Luft 4 L. 200 bar. 0,8 m3";"0";"0";"0";"0";""
"1305";"Teknisk Luft (Atm. Luft) 5 L. 200 bar";"0";"0";"0";"0";""
"1320";"Teknisk Luft (Atm. Luft) 20 L. 200 bar 4,0 m3";"60";"1";"0";"0";"DK-SV"
"1350";"Teknisk Luft (Atm. Luft) 50 L. 200 bar 10,0 m3";"60";"1";"0";"0";"DK-SV"
"1350F";"Andningsluft (Atm. Luft) PHARMA LINE 50 L. 200 bar 10,0 m3";"36";"1";"0";"0";"DK"
"1405";"Hydrogen 5 L. 200 bar 0,90m3";"0";"1";"0";"0";""
"140545";"Hydrogen 4.5  (Plus) 5 L. 200 bar";"0";"0";"0";"0";""
"140550S";"Hydrogen 5.0 LAB LINE 5 L 200 bar";"0";"0";"0";"0";""
"141050S";"Hydrogen 5.0 LAB LINE 10 L 200 bar";"60";"1";"0";"0";"DK-SV"
"141055S";"Hydrogen 5.5 LAB LINE 10 L. 200 bar. 1,9 m3";"0";"0";"0";"0";"DK-SV"
"141060S";"Hydrogen 6.0 LAB LINE 10 L. 200 bar. 1,9 m3";"0";"0";"0";"0";"DK-SV"
"1420";"Hydrogen 20 L. 200 bar 3,6 m3";"60";"1";"0";"0";"DK-SV"
"142045";"Hydrogen 4.5 (Plus) 20 L. 200 bar 3,6 m3";"60";"1";"0";"0";"DK-SV"
"142050S";"Hydrogen 5.0 LAB LINE 20 L. 200 b 3,6 m3";"60";"1";"0";"0";"DK-SV"
"142055S";"Hydrogen 5.5 LAB LINE 20 L. 200 b 3,6 m3";"60";"1";"0";"0";"DK-SV"
"142060S";"Hydrogen 6.0 LAB LINE 20 L. 200 b 3,6 m3";"60";"1";"0";"0";"DK-SV"
"1450";"Hydrogen 50 L. 200 bar 9,1 m3";"60";"1";"0";"0";"DK-SV"
"145045";"Hydrogen 4.5  50 L. 200 bar 9,1 m3";"60";"1";"0";"0";"DK-SV"
"145050S";"Hydrogen 5.0 LAB LINE 50 L. 200 bar 9,1 m3";"60";"1";"0";"0";"DK-SV"
"145055S";"Hydrogen 5.5 LAB LINE 50 L. 200 bar 9,1 m3";"60";"1";"0";"0";"DK-SV"
"145060S";"Hydrogen 6.0 LAB LINE 50 L. 200 bar 9,1 m3";"60";"1";"0";"0";"DK-SV"
"1485";"Hydrogen H1250 200 bar 109,2 m3";"60";"1";"0";"0";"DK-SV"
"148545";"Hydrogen 4.5 H1250 200 bar 109,2 m3";"60";"1";"0";"0";"DK-SV"
"1505";"Acetylen 5 L. 0,9 KG";"0";"1";"0";"0";""
"15051";"Acetylen 5 L. 0,9 KG  (AGA ventil)";"0";"0";"0";"0";""
"1520";"Acetylen 20 L. 3,6 KG";"60";"1";"0";"0";"DK-SV"
"1520Q";"Acetylen KVIK-TOP 20 L. 3,6 KG";"60";"1";"0";"0";"DK-SV"
"1540";"Acetylen 40 L. 7,2 KG";"60";"1";"0";"0";"DK-SV"
"154025S";"Acetylen 2.5 LAB LINE 40 L. 6,5 KG";"60";"1";"0";"0";"DK-SV"
"1540Q";"Acetylen KVIK-TOP 40 L. 7,2 KG";"60";"1";"0";"0";"DK-SV"
"1571";"Acetylen 0940 64,8 KG";"60";"1";"0";"0";"DK-SV"
"160245S";"Carbondioxid 4.5 LAB LINE 2 L. 1,5 KG";"0";"1";"0";"0";"DK-SV"
"1603F4";"Carbondioxid PHARMA LINE m/klein 2,5 L.";"36";"0";"0";"0";"DK"
"1608";"Carbondioxid 8 L. 6 KG";"0";"0";"0";"0";""
"1608L";"Carbondioxid FOOD LINE 8 L. 6 KG";"0";"0";"0";"0";""
"1614";"Carbondioxid 14 L. 10 KG";"0";"0";"0";"0";""
"1614L";"Carbondioxid FOOD LINE 14 L. 10 KG";"0";"0";"0";"0";""
"1614TRS";"CO2 COOLINE R744 max. 5 ppm H2O m. tovejs ventil. 10 L.";"60";"1";"0";"0";"DK-SV"
"1620";"Carbondioxid 20 L. 15 KG";"60";"1";"0";"0";"DK-SV"
"162045S";"Carbondioxid 4.5 LAB LINE 20 L. 15 KG";"60";"1";"0";"0";"DK-SV"
"162055S";"Carbondioxid 5.5 LAB LINE 20 L. 15 kg.";"0";"0";"0";"0";"DK-SV"
"1620D";"Carbondioxid Dip tube 20L. 15 KG";"60";"1";"0";"0";"DK-SV"
"1620DR";"Carbondioxid R744 Cooling/Dip tube 20L, 15kg";"60";"1";"0";"0";"DK-SV"
"1620L";"Carbondioxid FOOD LINE 20 L. 15 KG";"60";"1";"0";"0";"DK-SV"
"1640";"Carbondioxid 40 L. 26 KG";"60";"1";"0";"0";"DK-SV"
"164045S";"Carbondioxid 4.5 LAB LINE 40 L. 26 KG";"60";"1";"0";"0";"DK-SV"
"1640D";"Carbondioxid Dip tube 40 L. 26 KG";"60";"1";"0";"0";"DK-SV"
"1640DR";"Carbondioxid R744 Cooling/Dip tube 40 L. 26 KG";"60";"1";"0";"0";"DK-SV"
"1640L";"Carbondioxid FOOD LINE 40 L. 26 KG";"60";"1";"0";"0";"DK-SV"
"1650";"Carbondioxid 50 L. 37,5 KG";"60";"1";"0";"0";"DK-SV"
"165055SD";"Carbondioxid 5.5 LAB LINE Dip Tube 50 L. 37,5 KG";"60";"1";"0";"0";"DK-SV"
"1671";"Carbondioxid 0940 234 KG";"60";"1";"0";"0";"DK-SV"
"167130SG";"Carbondioxid 3.0 Liquid 0940 234 KG";"60";"1";"0";"0";"DK-SV"
"1671DR";"Carbondioxid R744 Cooling/Dip tube 0940 234 KG";"60";"1";"0";"0";"DK-SV"
"1671L";"Carbondioxid FOOD LINE 0940 234 KG";"60";"1";"0";"0";"DK-SV"
"168545S";"Carbondioxid 4.5 LAB LINE H1250 450 KG";"60";"1";"0";"0";"DK-SV"
"1698";"Carbondioxid TECH LINE Liquid KG";"0";"1";"0";"0";""
"1710F";"Dinitrogenoxid PHARMA LINE 10 L.";"36";"1";"0";"0";"SE"
"1710M";"Dinitrogenoxid MED LINE 10 L.";"36";"1";"0";"0";"SE"
"1750F";"Dinitrogenoxid PHARMA LINE 50 L.";"36";"1";"0";"0";"SE"
"1802";"Helium 2 L. 200 bar";"0";"0";"0";"0";""
"1804";"Helium 4 L 200 bar";"0";"0";"0";"0";""
"1805";"Helium 5 L. 200 bar";"0";"0";"0";"0";""
"180518";"Ballonhelium 5 L. 200 bar";"0";"0";"0";"0";""
"180550S";"Helium 5.0 LAB LINE 5 L. 200 bar 0,9 m3";"0";"0";"0";"0";""
"181055S";"Helium 5.5 LAB LINE 10 L. 200 bar. 1,9 m3";"0";"0";"0";"0";"DK-SV"
"181060S";"Helium 6.0 LAB LINE 10 L. 200 bar 1,8 m3";"0";"0";"0";"0";"DK-SV"
"181060SB";"Helium 6.0 LAB LINE BIP 10 L. 200 bar 1,8 m3";"60";"1";"0";"0";"DK-SV"
"1820";"Helium 20 L. 200 bar 3,7 m3";"60";"1";"0";"0";"DK-SV"
"182060S";"Helium 6.0 LAB LINE 20 L. 200 bar 3,7 m3";"60";"1";"0";"0";"DK-SV"
"1850";"Helium 50 L. 200 bar 9,3 m3";"60";"1";"0";"0";"DK-SV"
"185050S";"Helium 5.0 LAB LINE 50 L. 200 bar 9,3 m3";"60";"1";"0";"0";"DK-SV"
"185055S";"Helium 5.5 LAB LINE 50 L. 200 bar 9,3 m3";"60";"1";"0";"0";"DK-SV"
"185060S";"Helium 6.0 LAB LINE 50 L. 200 bar 9,3 m3";"60";"1";"0";"0";"DK-SV"
"185060SB";"Helium 6.0 LAB LINE BIP 50 L 200 bar 9,3 m3";"60";"1";"0";"0";"DK-SV"
"1859";"Helium, Liquid - 60 L.";"0";"1";"0";"0";"DK-SV"
"1860";"Helium, Liquid - 100 L.";"0";"0";"0";"0";"DK-SV"
"1861";"Helium, Liquid - 120 L.";"0";"0";"0";"0";"DK-SV"
"1862";"Helium, Liquid - 250 L.";"0";"0";"0";"0";"DK-SV"
"1863";"Helium, Liquid - 500 L.";"0";"0";"0";"0";"DK-SV"
"1885";"Helium H1250 200 bar 111,6 m3";"60";"1";"0";"0";"DK-SV"
"188555S";"Helium 5.5 LAB LINE H1250 200 b 111,6 m3";"60";"1";"0";"0";"DK-SV"
"1888";"Helium XL-bat. 300 bar 167,3 m3";"60";"1";"0";"0";"DK-SV"
"188850S";"Helium 5.0 LAB LINE XL-bat. 300 bar 167,3 m3";"60";"1";"0";"0";"DK-SV"
"192000";"Gasol 2000  0,34 KG";"0";"0";"0";"0";""
"192012";"Gasol 2012  2 KG";"0";"0";"0";"0";""
"1933";"Gasol 33 kg, Stål";"0";"0";"0";"0";""
"19M16";"Gasol M16   16 KG";"0";"0";"0";"0";""
"19P06";"Gasol P 6  6 KG";"0";"0";"0";"0";""
"19P11";"Gasol P11 11 KG";"0";"0";"0";"0";""
"19P19";"Gasol P19 19 KG";"0";"0";"0";"0";""
"19P45";"Gasol P45 45 KG";"0";"0";"0";"0";""
"19PA11";"Gasol PA11 11 KG";"0";"0";"0";"0";""
"19PA6";"Gasol PA6  6 KG";"0";"0";"0";"0";""
"19PC10";"Gasol PC10 10 KG";"0";"0";"0";"0";""
"19PC5";"Gasol PC5  5 KG";"0";"0";"0";"0";""
"19PK6";"Gasol PK6  6 KG";"0";"0";"0";"0";""
"201025S";"Methan 2.5  10 L.";"0";"0";"0";"0";"DK-SV"
"201045S";"Metan 4.5 LAB LINE 10 L. 100 bar. 1,18 m3";"60";"1";"0";"0";"DK-SV"
"201055S";"Methane 5.5 LAB LINE 10 L.";"0";"0";"0";"0";"DK-SV"
"205035S";"Methane 3.5 (CH4) 50 L.";"60";"1";"0";"0";"DK-SV"
"2150134R";"Tetrafluorethane R134a 50 L 54 KG";"60";"1";"0";"0";"DK-SV"
"302002";"Argonmix 2 (O2) 20 L. 200 bar 4,4 m3";"60";"1";"0";"0";"DK-SV"
"305002";"Argonmix 2 (O2) 50 L. 200 bar 10,9 m3";"60";"1";"0";"0";"DK-SV"
"308802";"Argonmix 2 (O2) XL-bat. 300 bar 199,0 m3";"60";"1";"0";"0";"DK-SV"
"310518";"Argonmix 82-18 (CO2) 5 L. 200 bar 1,2 m3";"0";"1";"0";"0";""
"312002";"Argonmix 98-2 (CO2) 20 L. 200 bar 4,4 m3";"60";"1";"0";"0";"DK-SV"
"312008";"Argonmix 92-8 (CO2) 20 L. 200 bar 4,5 m3";"60";"1";"0";"0";"DK-SV"
"312018";"Argonmix 82-18 (CO2) 20 L. 200 bar 4,8 m3";"60";"1";"0";"0";"DK-SV"
"312018Q";"Argonmix 82-18 (CO2) KVIK-TOP 20L 300 bar 6,8 m3";"60";"1";"0";"0";"DK-SV"
"312025";"Argonmix  75-25 (CO2) 20 L. 200 Bar 4,4 m3";"60";"1";"0";"0";"DK-SV"
"315002";"Argonmix 98-2 (CO2) 50 L. 200 b 11,0 m3";"60";"1";"0";"0";"DK-SV"
"315008";"Argonmix 92-8 (CO2) 50 L. 200 b 11,4 m3";"60";"1";"0";"0";"DK-SV"
"315012";"Argonmix 88-12 (CO2) 50 L. 200 bar 11,6 m3";"60";"1";"0";"0";"DK-SV"
"315018";"Argonmix 82-18 (CO2) 50 L. 200 bar 11,9 m3";"60";"1";"0";"0";"DK-SV"
"315018Q";"Argonmix 82-18 (CO2) KVIK-TOP 50 L. 300 bar 17,10 m3";"60";"1";"0";"0";"DK-SV"
"315025";"Argonmix 75-25(CO2) 50 L. 200 bar 12,3m3";"60";"1";"0";"0";"DK-SV"
"318508";"Argonmix 92-8 (CO2) H1250 200 b 136,8 m3";"60";"1";"0";"0";"DK-SV"
"318518";"Argonmix 82-18 (CO2) H1250 200 bar 142,8 m3";"60";"1";"0";"0";"DK-SV"
"318802";"Argonmix 98-2 (CO2) XL-bat. 300 bar 207,3 m3";"60";"1";"0";"0";"DK-SV"
"318808";"Argonmix 92-8 (CO2) XL-bat. 300 bar 207,3 m3";"60";"1";"0";"0";"DK-SV"
"318812";"Argonmix 88-12 (CO2) XL-bat. 300 Bar 211 m3";"60";"1";"0";"0";"DK-SV"
"318818";"Argonmix 82-18 (CO2) XL-bat. 300 bar 218 m3";"60";"1";"0";"0";"DK-SV"
"322002P";"PRO LINE H2 20 L. 200 bar 4,4 m3";"60";"1";"0";"0";"DK-SV"
"322004P";"PRO LINE H4 20 L. 200 bar 4,4 m3";"60";"1";"0";"0";"DK-SV"
"322005P";"PRO LINE H5 20 L. 200 bar 4,3 m3";"60";"1";"0";"0";"DK-SV"
"325002P";"PRO LINE H2 50 L. 200 bar 10,9 m3";"60";"1";"0";"0";"DK-SV"
"325004P";"PRO LINE H4 50 L. 200 bar 10,9 m3";"60";"1";"0";"0";"DK-SV"
"325005P";"PRO LINE H5 50 L. 200 bar 10,8 m3";"60";"1";"0";"0";"DK-SV"
"325007P";"PRO LINE H7 50 L. 200 bar 10,8 m3";"60";"1";"0";"0";"DK-SV"
"325010P";"PRO LINE H10 50 L. 200 bar 10,7 m3";"60";"1";"0";"0";"DK-SV"
"325035P";"PRO LINE H35 50 L. 200 bar 10,3 m3";"60";"1";"0";"0";"DK-SV"
"328502P";"PRO LINE H2 H1250 200 bar 130,8 m3";"60";"1";"0";"0";"DK-SV"
"332030P";"PRO LINE HE30 20 L. 200 bar 4,0 m3";"60";"1";"0";"0";"DK-SV"
"335020P";"PRO LINE HE20 50 L. 200 bar 10,3 m3";"60";"1";"0";"0";"DK-SV"
"335030P";"PRO LINE HE30 50 L. 200 bar 10,0 m3";"60";"1";"0";"0";"DK-SV"
"335050P";"PRO LINE HE50 50 L. 200 bar 9,4 m3";"60";"1";"0";"0";"DK-SV"
"335070P";"PRO LINE HE70 50 L. 200 bar 9,3 m3";"60";"1";"0";"0";"DK-SV"
"338550P";"PRO LINE HE50 H1250 200 bar 113,0 m3";"60";"1";"0";"0";"DK-SV"
"390505";"Formiergas 95-5 5 L. 200 bar";"0";"1";"0";"0";""
"392005";"Formiergas 95-5 20 L. 200 bar 3,8 m3";"60";"1";"0";"0";"DK-SV"
"392010";"Formiergas 90-10 20 L. 200 bar 3,8 m3";"60";"1";"0";"0";"DK-SV"
"395005";"Formiergas 95-5 50 L. 200 bar 9,8 m3";"60";"1";"0";"0";"DK-SV"
"395010";"Formiergas 90-10 50 L. 200 bar 9,6 m3";"60";"1";"0";"0";"DK-SV"
"395010P";"Formiergas 90-10 PRO LINE 50 L. 200 bar 9,6 m3";"60";"1";"0";"0";"DK-SV"
"398510";"Formiergas 90-10 H1250 200 bar 115,2 m3";"60";"1";"0";"0";"DK-SV"
"40500103";"Argonmix 96-3-1 50 L. 200 bar 11,2 m3";"60";"1";"0";"0";"DK-SV"
"40500606";"Argonmix 88-6-6 50 L. 200 bar 11,2 m3";"60";"1";"0";"0";"DK-SV"
"40880103";"Argonmix 96-3-1 XL-bat. 300 bar 209 m3";"60";"1";"0";"0";"DK-SV"
"42200230";"Argonmix 68-2 CO2-HE30 20L.200 bar";"60";"1";"0";"0";"DK-SV"
"42500215";"PRO LINE ROA 3 50 L. 200 bar 10,5 m3";"60";"1";"0";"0";"DK-SV"
"42500230";"Argonmix 68-2CO2-HE30 50 L. 200 bar";"60";"1";"0";"0";"DK-SV"
"4720P";"PRO LINE ROA 20 L. 200 bar 4,4 m3";"60";"1";"0";"0";"DK-SV"
"475002P";"PRO LINE ROA 2 50 L. 200 bar 10,7 m3";"60";"1";"0";"0";"DK-SV"
"4750P";"PRO LINE ROA 50 L. 200 bar 10,9 m3";"60";"1";"0";"0";"DK-SV"
"4820P";"PRO LINE PROAL 20 L. 200 bar 4,1 m3";"60";"1";"0";"0";"DK-SV"
"4850P";"PRO LINE PROAL 50 L. 200 bar 10,3 m3";"60";"1";"0";"0";"DK-SV"
"500118601440";"Blandgas 40% H2 i Helium, 1 L.";"0";"1";"0";"0";""
"500218601440";"Blandgas 40% H2 i Helium,  2 L.";"0";"0";"0";"0";""
"50101021117950S";"Synt. Luft 5.0 LAB LINE 10 L. 200 bar";"60";"1";"0";"0";"DK-SV"
"50101095";"Blandgas 5% CO2 i Oxygen 10 L. 200 bar.";"0";"0";"0";"0";"DK-SV"
"501011601440";"Blandgas 40% H2 i Nitrogen, 10 L, 200 bar.";"60";"0";"0";"0";"DK-SV"
"50101865S";"Lasergas Rofin 6%CO/4%CO2/65%He/19%N2/3%O2/3%Xe10 L.";"60";"1";"0";"0";"DK-SV"
"50201021117950S";"Synt. Luft 5.0 LAB LINE 20 L. 200 bar";"60";"1";"0";"0";"DK-SV"
"50201095";"Blandgas 5% CO2 i Oxygen 20 L.";"0";"0";"0";"0";"DK-SV"
"50201199";"Blandgas 1% CO2 i Nitrogen 20 L. 150 bar.";"0";"0";"0";"0";"DK-SV"
"50201670";"Blandgas 30% O2 i CO2, 20 L, 50 bar";"0";"0";"0";"0";"DK-SV"
"505010011199";"Gasmixture 100ppm O2 / N2 50 L.";"60";"1";"0";"0";"DK-SV"
"505010211179";"Synt. Luft, 50 L, 200 bar";"60";"1";"0";"0";"DK-SV"
"50501021117950S";"Synt. Luft 5.0 LAB LINE 50 L. 200 bar";"60";"1";"0";"0";"DK-SV"
"50501021117955S";"Synt. Luft 5.5 LAB LINE 50 L. 200 bar";"60";"1";"0";"0";"DK-SV"
"50501095";"Blandgas 5% CO2 i Oxygen, 50 L, 200 bar";"60";"1";"0";"0";"DK-SV"
"50501170";"Blandgas 30% O2 i Nitrogen 50 L. 200 bar. 10 m3";"120";"1";"0";"0";"DK-SV"
"505011801S";"LAB LINE 10% H2 / 10% CO2 / N2 50 L.";"60";"1";"0";"0";"DK-SV"
"505011802S";"LAB LINE 10% H2 / 5% CO2 / N2 50 L.";"60";"1";"0";"0";"DK-SV"
"50501185";"Blandgas 10% CO2, 5% O2 i Nitrogen, 50 L, 150 bar.";"0";"0";"0";"0";"DK-SV"
"50501186";"Blandgas 7% CO2, 7% H2 i Nitrogen. 50 L. 200 bar.";"0";"0";"0";"0";"DK-SV"
"50501188";"LAB LINE P6 0,1% CH3OH, 0,2%DME, 0,3%CO, 0,1%CO2, 11%O2 i N2";"60";"1";"0";"0";"DK-SV"
"50501195";"Blandgas 5% CO2 i Nitrogen, 50 L, 200 bar, 10 m3";"60";"1";"0";"0";"DK-SV"
"505011961404";"Blandgas 4% H2 i Nitrogen, 50 L, 200 bar, 9,8 m3";"60";"1";"0";"0";"DK-SV"
