"1020Q";"Oxygen KVIK-TOP 20 L. 200 bar 4,4 m3";"60";"1";"0";"0"
"1020QK";"Oxygen (YARAPRAXAIR) KVIK-TOP 20 L. 200 bar 4,4 m3";"0";"0";"0";"0"
"1020SG";"Oxygen 20 L. 200 bar 4,4 m3";"0";"0";"0";"0"
"1040";"Oxygen 40 L. 200 bar 8,8 m3";"60";"1";"0";"0"
"10401";"Oxygen 40 L. 150 bar 6,6 m3";"0";"0";"0";"0"
"1040M";"Oxygen Med. 40 L. 200 bar 8,8 m3";"0";"0";"0";"0"
"1050";"Oxygen 50 L. 200 bar 10,9 m3";"60";"1";"0";"0"
"105035P";"Oxygen 3.5 PRO LINE 50 L. 10,9 m3";"60";"1";"0";"0"
"105035PSG";"Oxygen 3.5 PRO LINE 50 L. 10,9 m3";"0";"0";"0";"0"
"105045S";"Oxygen 4.5 LAB LINE 50 L. 10,9 m3";"60";"1";"1";"0"
"105050S";"Oxygen 5.0 LAB LINE 50 L. 10,9 m3";"0";"0";"0";"0"
"105052S";"Oxygen 5.2 LAB LINE 50 L. 10,9 m3";"60";"1";"1";"0"
"105060S";"Oxygen 6.0 LAB LINE 50 L. 10,9 m3";"0";"0";"0";"0"
"1050F";"Oxygen PHARMA LINE 50 L. 200 bar 10,9 m3";"36";"1";"0";"1"
"1050ISG";"Oxygen 50 L Dyk- og Åndingsgas 200 bar";"0";"0";"0";"0"
"1050K";"Oxygen 50 L. 200 bar 10,9 m3";"0";"0";"0";"0"
"1050L";"Oxygen FOOD LINE 50 L 10,9 m3";"60";"1";"0";"0"
"1050LSG";"Oxygen FOOD LINE 50 L 10,9 m3";"0";"0";"0";"0"
"1050M";"Oxygen MED LINE 50 L. 200 bar 10,9 m3";"36";"1";"0";"1"
"1050MSG";"Oxygen Med. 50 L. 200 bar 10,9 m3";"0";"0";"0";"0"
"1050Q";"Oxygen KVIK-TOP 50 L. 200 bar 10,9 m3";"60";"1";"0";"0"
"1050QK";"Oxygen (YARAPRAXAIR) KVIK-TOP 50 L. 200 bar 10,9 m3";"0";"0";"0";"0"
"1050SG";"Oxygen 50 L. 200 bar 10,9 m3";"0";"0";"0";"0"
"1062HT";"Oxygen Flydende 190 L. 15 bar";"49";"0";"0";"0"
"1062LT";"Oxygen Flydende 190 L. 5 bar";"49";"0";"0";"0"
"1062MHT";"Oxygen Med. Flydende 190 L. 15 bar";"0";"0";"0";"0"
"1062MLT";"Oxygen MED LINE Flydende Nom. 190 L. 5 bar";"49";"0";"0";"1"
"1063HT";"Oxygen Flydende 176 L. 15 bar";"49";"0";"0";"0"
"1063LT";"Oxygen Flydende 176 L. 5 bar";"49";"0";"0";"0"
"1063MHT";"Oxygen Med. Flydende 176 L. 15 bar";"0";"0";"0";"0"
"1063MLT";"Oxygen MED LINE Flydende Nom. 175 L. 5 bar";"49";"0";"0";"1"
"1064";"Oxygen Flydende 30 L. Beholder";"0";"0";"0";"0"
"1064M";"Oxygen MED LINE Flydende 30 L. Blå Beholder";"21";"0";"0";"1"
"1065M";"Oxygen MED LINE Flydende 37 L. Blå Beholder";"49";"0";"0";"1"
"1066M";"Oxygen MED LINE Flydende 30 L. Grå Beholder";"49";"0";"0";"1"
"1067M";"Oxygen MED LINE Flydende 41 L. Grå Beholder";"49";"0";"0";"1"
"1068M";"Oxygen MED LINE Flydende 36 L. Beholder";"49";"0";"0";"1"
"1069M";"Oxygen MED LINE Flydende Nom. 47 L. Beholder";"49";"0";"0";"1"
"1072";"Oxygen L1240 150 bar 79,2 m3";"0";"0";"0";"0"
"1072M";"Oxygen Med. L1240 150 bar 79,2 m3";"0";"0";"0";"0"
"1073";"Oxygen L2040 150 bar 130,8 m3";"0";"0";"0";"0"
"1073M";"Oxygen Med. L2040 150 bar 130,8 m3";"0";"0";"0";"0"
"1082";"Oxygen H1240 200 bar 105,6 m3";"0";"0";"0";"0"
"1083";"Oxygen H2040 200 bar 176,0 m3";"60";"1";"0";"0"
"108435P";"Oxygen (Aga-ejd) 3.5 PRO LINE 1050 200 b";"0";"0";"0";"0"
"108435PK";"OXYGEN(aga-ejd) 3.5 PRO LINE 1050 200 bar";"0";"0";"0";"0"
"1085";"Oxygen H1250 200 bar 130,8 m3";"60";"1";"0";"0"
"108535P";"Oxygen 3.5 PRO LINE H1250 200 b 130,8 m3";"60";"1";"0";"0"
"108535PK";"Oxygen 3.5 PRO LINE H1250 200 bar 130,8 m3";"0";"0";"0";"0"
"108535PSG";"Oxygen 3.5 PRO LINE H1250 200 b 130,8 m3";"0";"0";"0";"0"
"108552S";"Oxygen 5.2 LAB LINE H1250 200 bar 130,8 m3";"60";"1";"1";"0"
"1085F";"Oxygen Pharma Line H1250 200 bar 130,8 m3";"36";"1";"0";"1"
"1085K";"Oxygen H1250 200 bar 130,8 m3";"0";"0";"0";"0"
"1085L";"Oxygen FOOD LINE H1250 200 bar 130,8 m3";"60";"1";"0";"0"
"1085LK";"Oxygen FOOD LINE H1250 200 Bar 130,8 m3";"0";"0";"0";"0"
"1085LSG";"Oxygen FOOD LINE H1250 200 bar 130,8 m3";"0";"0";"0";"0"
"1085M";"Oxygen MED LINE H1250 200 bar 130,8 m3";"36";"1";"0";"1"
"1085SG";"Oxygen H1250 200 bar 130,8 m3";"0";"0";"0";"0"
"1086";"Oxygen H3250 200 bar 348,8 m3";"60";"1";"0";"0"
"1088";"Oxygen XL-bat. 300 bar 202,9 m3";"60";"1";"0";"0"
"108835P";"Oxygen 3.5 PRO LINE XL-bat. 300 bar";"60";"1";"0";"0"
"1088M";"Oxygen Med. XL-bat. 200 bar 139,5 m3";"0";"0";"0";"0"
"1088SG";"Oxygen XL-bat. 300 bar 202,9 m3";"0";"0";"0";"0"
"1096";"Oxygen TECH LINE Flydende m3";"0";"0";"0";"0"
"1096F";"Oxygen PHARMA LINE Flydende m3";"0";"0";"0";"0"
"1096L";"Oxygen FOOD LINE Flydende m3";"0";"0";"0";"0"
"1096M";"Oxygen MED LINE Flydende m3";"0";"0";"0";"0"
"1098";"Oxygen TECH LINE Flydende KG";"0";"0";"0";"0"
"1098L";"Oxygen FOOD LINE Flydende KG";"0";"0";"0";"0"
"1098M";"Oxygen MED LINE Flydende KG";"0";"0";"0";"0"
"1099";"Oxygen TECH LINE Flydende L.";"0";"0";"0";"0"
"10990";"Oxygen Flydende (EJD.BEH)  L.";"0";"0";"0";"0"
"109935P";"Oxygen 3.5 PRO LINE Flydende L.";"0";"0";"0";"0"
"1099F";"Oxygen PHARMA LINE Flydende L.";"0";"0";"0";"0"
"1099L";"Oxygen FOOD LINE Flydende L.";"0";"0";"0";"0"
"1099M";"Oxygen MED LINE Flydende L.";"0";"0";"0";"0"
"1102";"Nitrogen 2 L. 200 bar";"0";"0";"0";"0"
"1102SG";"Nitrogen 2 L. 200 bar";"0";"0";"0";"0"
"1103";"Nitrogen but, 2,5L";"0";"0";"0";"0"
"1104";"Nitrogen 4 L. 200 bar";"0";"0";"0";"0"
"1105";"Nitrogen 5 L. 200 bar";"0";"0";"0";"0"
"110545";"Nitrogen 4.5  5 L. 200 bar";"0";"0";"0";"0"
"110545SG";"Nitrogen 4.5  5 L. 200 bar";"0";"0";"0";"0"
"110550S";"Nitrogen 5.0 LAB LINE 5 L. 200 bar";"0";"0";"0";"0"
"110550SSG";"Nitrogen 5.0  5 L. 200 bar";"0";"0";"0";"0"
"1105L";"Nitrogen FOOD LINE 5 L. 200 bar";"0";"0";"0";"0"
"1105SG";"Nitrogen 5 L. 200 bar";"0";"0";"0";"0"
"1110";"Nitrogen 10 L. 200 bar 1,9 m3";"60";"1";"0";"0"
